Row_num,Sepal_length_cm,Sepa_width_cm,Pedal_length_cm,Pedal_width_cm,Species
Row_1,5.1,3.5,1.4,0.2,Iris-setosa
Row_2,4.9,3,1.4,0.2,Iris-setosa
Row_3,4.7,3.2,1.3,0.2,Iris-setosa
Row_4,4.6,3.1,1.5,0.2,Iris-setosa
Row_5,5,3.6,1.4,0.2,Iris-setosa
Row_6,5.4,3.9,1.7,0.4,Iris-setosa
Row_7,4.6,3.4,1.4,0.3,Iris-setosa
Row_8,5,3.4,1.5,0.2,Iris-setosa
Row_9,4.4,2.9,1.4,0.2,Iris-setosa
Row_10,4.9,3.1,1.5,0.1,Iris-setosa
Row_11,5.4,3.7,1.5,0.2,Iris-setosa
Row_12,4.8,3.4,1.6,0.2,Iris-setosa
Row_13,4.8,3,1.4,0.1,Iris-setosa
Row_14,4.3,3,1.1,0.1,Iris-setosa
Row_15,5.8,4,1.2,0.2,Iris-setosa
Row_16,5.7,4.4,1.5,0.4,Iris-setosa
Row_17,5.4,3.9,1.3,0.4,Iris-setosa
Row_18,5.1,3.5,1.4,0.3,Iris-setosa
Row_19,5.7,3.8,1.7,0.3,Iris-setosa
Row_20,5.1,3.8,1.5,0.3,Iris-setosa
Row_21,5.4,3.4,1.7,0.2,Iris-setosa
Row_22,5.1,3.7,1.5,0.4,Iris-setosa
Row_23,4.6,3.6,1,0.2,Iris-setosa
Row_24,5.1,3.3,1.7,0.5,Iris-setosa
Row_25,4.8,3.4,1.9,0.2,Iris-setosa
Row_26,5,3,1.6,0.2,Iris-setosa
Row_27,5,3.4,1.6,0.4,Iris-setosa
Row_28,5.2,3.5,1.5,0.2,Iris-setosa
Row_29,5.2,3.4,1.4,0.2,Iris-setosa
Row_30,4.7,3.2,1.6,0.2,Iris-setosa
Row_31,4.8,3.1,1.6,0.2,Iris-setosa
Row_32,5.4,3.4,1.5,0.4,Iris-setosa
Row_33,5.2,4.1,1.5,0.1,Iris-setosa
Row_34,5.5,4.2,1.4,0.2,Iris-setosa
Row_35,4.9,3.1,1.5,0.1,Iris-setosa
Row_36,5,3.2,1.2,0.2,Iris-setosa
Row_37,5.5,3.5,1.3,0.2,Iris-setosa
Row_38,4.9,3.1,1.5,0.1,Iris-setosa
Row_39,4.4,3,1.3,0.2,Iris-setosa
Row_40,5.1,3.4,1.5,0.2,Iris-setosa
Row_41,5,3.5,1.3,0.3,Iris-setosa
Row_42,4.5,2.3,1.3,0.3,Iris-setosa
Row_43,4.4,3.2,1.3,0.2,Iris-setosa
Row_44,5,3.5,1.6,0.6,Iris-setosa
Row_45,5.1,3.8,1.9,0.4,Iris-setosa
Row_46,4.8,3,1.4,0.3,Iris-setosa
Row_47,5.1,3.8,1.6,0.2,Iris-setosa
Row_48,4.6,3.2,1.4,0.2,Iris-setosa
Row_49,5.3,3.7,1.5,0.2,Iris-setosa
Row_50,5,3.3,1.4,0.2,Iris-setosa
Row_51,7,3.2,4.7,1.4,Iris-versicolor
Row_52,6.4,3.2,4.5,1.5,Iris-versicolor
Row_53,6.9,3.1,4.9,1.5,Iris-versicolor
Row_54,5.5,2.3,4,1.3,Iris-versicolor
Row_55,6.5,2.8,4.6,1.5,Iris-versicolor
Row_56,5.7,2.8,4.5,1.3,Iris-versicolor
Row_57,6.3,3.3,4.7,1.6,Iris-versicolor
Row_58,4.9,2.4,3.3,1,Iris-versicolor
Row_59,6.6,2.9,4.6,1.3,Iris-versicolor
Row_60,5.2,2.7,3.9,1.4,Iris-versicolor
Row_61,5,2,3.5,1,Iris-versicolor
Row_62,5.9,3,4.2,1.5,Iris-versicolor
Row_63,6,2.2,4,1,Iris-versicolor
Row_64,6.1,2.9,4.7,1.4,Iris-versicolor
Row_65,5.6,2.9,3.6,1.3,Iris-versicolor
Row_66,6.7,3.1,4.4,1.4,Iris-versicolor
Row_67,5.6,3,4.5,1.5,Iris-versicolor
Row_68,5.8,2.7,4.1,1,Iris-versicolor
Row_69,6.2,2.2,4.5,1.5,Iris-versicolor
Row_70,5.6,2.5,3.9,1.1,Iris-versicolor
Row_71,5.9,3.2,4.8,1.8,Iris-versicolor
Row_72,6.1,2.8,4,1.3,Iris-versicolor
Row_73,6.3,2.5,4.9,1.5,Iris-versicolor
Row_74,6.1,2.8,4.7,1.2,Iris-versicolor
Row_75,6.4,2.9,4.3,1.3,Iris-versicolor
Row_76,6.6,3,4.4,1.4,Iris-versicolor
Row_77,6.8,2.8,4.8,1.4,Iris-versicolor
Row_78,6.7,3,5,1.7,Iris-versicolor
Row_79,6,2.9,4.5,1.5,Iris-versicolor
Row_80,5.7,2.6,3.5,1,Iris-versicolor
Row_81,5.5,2.4,3.8,1.1,Iris-versicolor
Row_82,5.5,2.4,3.7,1,Iris-versicolor
Row_83,5.8,2.7,3.9,1.2,Iris-versicolor
